dataset,model,seed,perturbation_rate,n_instances,mean_pred_drift,frac_pred_preserving,frac_plausible,shap_rank_sim_mean,shap_attr_sim_mean,shap_sign_cons_mean,lime_rank_sim_mean,lime_attr_sim_mean,lime_sign_cons_mean
german,lightgbm,0,-0.1,50,0.08438751297420105,0.46,0.98,0.9719908765070057,0.942273763994109,0.9718181818181819,0.8084042553191488,0.8504358529961727,0.9210161263086795
german,lightgbm,0,-0.05,50,0.070166171100799,0.5,0.98,0.9723970891712829,0.9563752026943371,0.9772727272727273,0.8234085974815458,0.8655985604675821,0.9264001132367841
german,lightgbm,0,0.05,50,0.11673776006906693,0.5,0.88,0.9404974475942219,0.9188651929683362,0.9277272727272726,0.8451845419018672,0.8557144694176719,0.9120299145299146
german,lightgbm,0,0.1,50,0.1442093531385914,0.5,0.84,0.9357032692516565,0.8854917206676416,0.9181818181818181,0.8367867998263135,0.8242765661022815,0.8856687488924331
german,lightgbm,7,-0.1,50,0.08533066120119712,0.46,0.98,0.9578863907896168,0.9325680702787316,0.9668181818181819,0.8250238818931828,0.8878098006359685,0.9278640350877193
german,lightgbm,7,-0.05,50,0.061446693315814295,0.48,0.98,0.9608623873140003,0.9602862419831066,0.9718181818181819,0.8401172383847155,0.8737816876384459,0.933640350877193
german,lightgbm,7,0.05,50,0.12423006988695978,0.54,0.88,0.9366807863582057,0.8966014940248614,0.9277272727272726,0.8030525401650022,0.7780996945255376,0.8848874854819977
german,lightgbm,7,0.1,50,0.15718086743738902,0.44,0.84,0.9302117953730858,0.8614813569457463,0.9181818181818181,0.8104580981328702,0.7574299185321531,0.8686321138211381
german,lightgbm,42,-0.1,50,0.07789481480294624,0.56,0.98,0.9650874334745303,0.9452595052864641,0.9609090909090909,0.8123512809379071,0.8776549698078234,0.924047619047619
german,lightgbm,42,-0.05,50,0.059745931972179075,0.54,0.98,0.9704963614641035,0.9639006314083299,0.9681818181818181,0.8269843682153711,0.8838479819700917,0.9303197674418605
german,lightgbm,42,0.05,50,0.12209864298054712,0.54,0.88,0.9447854893016185,0.9166599458759116,0.9240909090909091,0.814706904038211,0.8183449276327859,0.9035118425635668
german,lightgbm,42,0.1,50,0.14894817089568632,0.52,0.84,0.9401259910937331,0.8867265029145536,0.9154545454545455,0.8108988276161528,0.8239451399008391,0.8998155929038282
german,lightgbm,123,-0.1,50,0.08357057950438371,0.52,0.98,0.9648984468339309,0.94347112745932,0.9659090909090909,0.8082805036908379,0.8787311757695744,0.9218095238095237
