dataset,model,explainer,metric,mean,median,std,q25,q75,min,max,ci_low,ci_high,ci_status,n_instances,n_seed_pairs,bootstrap_seed,bootstrap_reps
gmsc,xgboost,shap,spearman,0.9776242424242423,0.9824242424242424,0.01998662996444142,0.9715151515151516,0.9903030303030302,0.9224242424242423,1.0,0.9715151515151516,0.9829339393939394,OK,50,10,42,5000
gmsc,xgboost,shap,topk_jaccard,0.9077142857142857,1.0,0.10757719973798423,0.8166666666666667,1.0,0.619047619047619,1.0,0.878,0.9363809523809523,OK,50,10,42,5000
gmsc,xgboost,shap,cosine,0.9956805748389981,0.9972374515983342,0.00518814675781724,0.995216279006023,0.9982482385557896,0.969047805693093,0.9993463799343525,0.9941054993378501,0.996882793589827,OK,50,10,42,5000
gmsc,xgboost,shap,sign_agreement,0.9604,0.96,0.03800966579539407,0.9400000000000001,1.0,0.86,1.0,0.9496000000000001,0.9704,OK,50,10,42,5000
taiwan,lightgbm,lime,spearman,0.7042430830039524,0.7497529644268774,0.16802125984220329,0.6399703557312253,0.8020998023715415,0.10385375494071145,0.9445652173913043,0.6576687747035572,0.7466067193675888,OK,50,10,42,5000
taiwan,lightgbm,lime,topk_jaccard,0.6726904761904762,0.6523809523809524,0.098997242856566,0.5976190476190475,0.7428571428571428,0.4821428571428571,0.8666666666666666,0.6456886904761904,0.6993571428571427,OK,50,10,42,5000
taiwan,lightgbm,lime,cosine,0.8515723311122118,0.9113446058818931,0.1897795321763954,0.814003076064675,0.9805968853922742,0.17916106025790596,0.9994363043462755,0.7927920009619798,0.9007317611730916,OK,47,10,42,5000
taiwan,lightgbm,lime,sign_agreement,0.8189565217391304,0.8260869565217391,0.09374874714644515,0.7673913043478261,0.8869565217391304,0.5217391304347826,0.9826086956521738,0.7921739130434783,0.8438260869565216,OK,50,10,42,5000
taiwan,lightgbm,shap,spearman,0.9502865612648221,0.9602766798418972,0.03041269820616621,0.9328804347826087,0.973641304347826,0.8776679841897235,0.9870553359683795,0.9414997529644268,0.9585005434782607,OK,50,10,42,5000
taiwan,lightgbm,shap,topk_jaccard,0.8279285714285715,0.8,0.12604168437909702,0.7666666666666666,0.8666666666666666,0.4583333333333333,1.0,0.7931898809523807,0.8614285714285714,OK,50,10,42,5000
taiwan,lightgbm,shap,cosine,0.9840931172586375,0.9882736810825059,0.013358266435717468,0.9787219764501058,0.9932772790590076,0.9344608233726029,0.9994163567067158,0.9803150440538616,0.9875067747226164,OK,50,10,42,5000
taiwan,lightgbm,shap,sign_agreement,0.9337391304347825,0.9304347826086957,0.03730391554364692,0.9130434782608695,0.9565217391304348,0.808695652173913,1.0,0.9227826086956523,0.9436521739130436,OK,50,10,42,5000
taiwan,mlp,lime,spearman,0.5468774703557312,0.6192687747035573,0.23439342535565705,0.4219861660079052,0.6964426877470357,-0.0044466403162055305,0.9137351778656126,0.4830574110671937,0.610421195652174,OK,50,10,42,5000
taiwan,mlp,lime,topk_jaccard,0.5920238095238095,0.5714285714285714,0.09727095788330528,0.5357142857142857,0.6464285714285715,0.40476190476190477,1.0,0.5662136904761905,0.6201214285714285,OK,50,10,42,5000
taiwan,mlp,lime,cosine,0.6922300456366064,0.7958703138733606,0.31965233248769037,0.4915543258597008,0.9551440965447773,-0.20119836615649947,0.9985689595704151,0.5970430626243036,0.7811420945262308,OK,47,10,42,5000
taiwan,mlp,lime,sign_agreement,0.7671304347826087,0.7869565217391304,0.113802516195432,0.6956521739130435,0.8500000000000001,0.5217391304347826,0.9652173913043478,0.7354782608695654,0.7980869565217391,OK,50,10,42,5000
taiwan,mlp,shap,spearman,0.6191590361445783,0.6268072289156628,0.09193726843337142,0.556987951807229,0.6893674698795181,0.356144578313253,0.7568674698795183,0.5934260240963857,0.6431277710843375,OK,50,10,42,5000
taiwan,mlp,shap,topk_jaccard,0.4963571428571429,0.475,0.12292677552356288,0.4360119047619047,0.5678571428571428,0.2579365079365079,0.7666666666666666,0.4631664682539682,0.5304309523809524,OK,50,10,42,5000
taiwan,mlp,shap,cosine,0.824728315188817,0.8759313990555613,0.1631574402224449,0.7745172544520481,0.9262055583418511,0.1602870977057271,0.9980089395805789,0.7773183181960593,0.8661101307694006,OK,50,10,42,5000
taiwan,mlp,shap,sign_agreement,0.705391304347826,0.7086956521739131,0.06929606315967878,0.6684782608695652,0.7423913043478261,0.5347826086956522,0.8347826086956521,0.6861739130434783,0.7241739130434781,OK,50,10,42,5000
taiwan,random_forest,lime,spearman,0.7128537549407116,0.7626482213438736,0.2224035725419409,0.619244071146245,0.8628952569169962,-0.158201581027668,0.9764822134387352,0.6487285079051384,0.770385918972332,OK,50,10,42,5000
taiwan,random_forest,lime,topk_jaccard,0.6290396825396825,0.6119047619047618,0.12658474229022199,0.5476190476190476,0.725,0.363095238095238,0.8666666666666666,0.593625,0.6645253968253966,OK,50,10,42,5000
taiwan,random_forest,lime,cosine,0.9035363484733683,0.9439409086691883,0.1383211690634331,0.89888879470577,0.9862882044308601,0.3321363482830125,0.9992972589536597,0.8615385668796627,0.9390691559683312,OK,47,10,42,5000
taiwan,random_forest,lime,sign_agreement,0.8483478260869565,0.8739130434782609,0.1135020390050338,0.8173913043478261,0.9130434782608695,0.43478260869565216,0.9826086956521738,0.8142608695652175,0.8772173913043477,OK,50,10,42,5000
taiwan,random_forest,shap,spearman,0.9747173913043476,0.9814723320158103,0.019972670216326868,0.9710968379446641,0.984856719367589,0.8852766798418973,0.9957509881422926,0.9688140316205534,0.9797649209486166,OK,50,10,42,5000
taiwan,random_forest,shap,topk_jaccard,0.872095238095238,0.8666666666666666,0.12541387819572736,0.7749999999999999,1.0,0.6047619047619047,1.0,0.836,0.9063809523809523,OK,50,10,42,5000
taiwan,random_forest,shap,cosine,0.9958533754829141,0.9966658939760162,0.002255887746623347,0.9943097658062244,0.9975382938104136,0.9895919187049522,0.999723143125793,0.9952265044676094,0.9964411019081705,OK,50,10,42,5000
taiwan,random_forest,shap,sign_agreement,0.9504347826086957,0.9521739130434783,0.04652169766726458,0.9304347826086957,0.9956521739130435,0.8347826086956521,1.0,0.9370434782608696,0.9626086956521739,OK,50,10,42,5000
taiwan,xgboost,lime,spearman,0.6651106719367589,0.7296442687747036,0.24633056440872855,0.6123764822134388,0.8232460474308301,-0.1713438735177866,0.9698616600790514,0.5956467885375494,0.7283045454545455,OK,50,10,42,5000
taiwan,xgboost,lime,topk_jaccard,0.6292619047619047,0.5999999999999999,0.11675218747266364,0.5571428571428572,0.6928571428571428,0.34523809523809523,1.0,0.5984988095238094,0.6625482142857143,OK,50,10,42,5000
taiwan,xgboost,lime,cosine,0.8487883416013254,0.9556207873694108,0.2689471835305734,0.8820622870818643,0.9880641367887726,-0.18005442211284683,0.9993399914664389,0.7636070981420113,0.91750165866582,OK,47,10,42,5000
taiwan,xgboost,lime,sign_agreement,0.8064347826086957,0.8173913043478261,0.12434540612310063,0.7673913043478261,0.8826086956521739,0.4434782608695652,0.9826086956521738,0.771304347826087,0.8391304347826086,OK,50,10,42,5000
taiwan,xgboost,shap,spearman,0.921501976284585,0.9386857707509881,0.04929998468538876,0.9067687747035573,0.9528162055335968,0.7260869565217392,0.9895256916996047,0.9069911561264823,0.9340693181818183,OK,50,10,42,5000
taiwan,xgboost,shap,topk_jaccard,0.7402142857142858,0.7333333333333333,0.1618555007806465,0.6249999999999999,0.8666666666666666,0.41666666666666663,1.0,0.6947142857142857,0.7850482142857141,OK,50,10,42,5000
taiwan,xgboost,shap,cosine,0.9769625459740093,0.978091495936838,0.01518930889824846,0.9715576219403255,0.9858698606562734,0.9059588262913552,0.998061513114654,0.9725063482563449,0.9808651573308238,OK,50,10,42,5000
taiwan,xgboost,shap,sign_agreement,0.9123478260869566,0.9217391304347826,0.05030181658571434,0.8869565217391304,0.9478260869565218,0.782608695652174,1.0,0.8984347826086956,0.9255652173913045,OK,50,10,42,5000
